UF;tipo_de_crime;ano;qtd;taxa_100mil_veic
AC;Roubo e furto de veículos;2013;0;0
AL;Roubo e furto de veículos;2013;3964;651.8214496
AM;Roubo e furto de veículos;2013;3426;493.163936
AP;Roubo e furto de veículos;2013;825;544.4538303
BA;Roubo e furto de veículos;2013;17812;568.6340174
Brasil;Roubo e furto de veículos;2013;456762;563.2801595
CE;Roubo e furto de veículos;2013;14234;604.1498482
DF;Roubo e furto de veículos;2013;11400;758.6087116
ES;Roubo e furto de veículos;2013;7111;451.9221786
GO;Roubo e furto de veículos;2013;9442;300.1363996
MA;Roubo e furto de veículos;2013;3446;286.3757922
MG;Roubo e furto de veículos;2013;17535;198.3891951
MS;Roubo e furto de veículos;2013;4106;330.21641
MT;Roubo e furto de veículos;2013;6486;418.0669913
PA;Roubo e furto de veículos;2013;6103;432.2228777
PB;Roubo e furto de veículos;2013;0;0
PE;Roubo e furto de veículos;2013;10672;448.5909025
PI;Roubo e furto de veículos;2013;2812;332.7649191
PR;Roubo e furto de veículos;2013;22936;363.382352
RJ;Roubo e furto de veículos;2013;45670;824.8908605
RN;Roubo e furto de veículos;2013;0;0
RO;Roubo e furto de veículos;2013;3923;520.627354
RR;Roubo e furto de veículos;2013;98;59.78416696
RS;Roubo e furto de veículos;2013;28871;493.8956307
SC;Roubo e furto de veículos;2013;15091;361.7450152
SE;Roubo e furto de veículos;2013;0;0
SP;Roubo e furto de veículos;2013;215510;881.0592138
TO;Roubo e furto de veículos;2013;1598;305.6717606
AC;Roubo e furto de veículos;2014;237;106.0165511
AL;Roubo e furto de veículos;2014;4553;677.9262277
AM;Roubo e furto de veículos;2014;4433;586.5595431
AP;Roubo e furto de veículos;2014;893;541.3925854
BA;Roubo e furto de veículos;2014;20060;585.7375534
Brasil;Roubo e furto de veículos;2014;513023;591.7186858
CE;Roubo e furto de veículos;2014;0;0
DF;Roubo e furto de veículos;2014;15477;975.7472249
ES;Roubo e furto de veículos;2014;6799;403.4286989
GO;Roubo e furto de veículos;2014;23195;684.8845868
MA;Roubo e furto de veículos;2014;5082;377.7239493
MG;Roubo e furto de veículos;2014;35876;380.1628652
MS;Roubo e furto de veículos;2014;4719;352.3216722
MT;Roubo e furto de veículos;2014;8364;492.8857447
PA;Roubo e furto de veículos;2014;7106;448.1058604
PB;Roubo e furto de veículos;2014;2178;210.2233406
PE;Roubo e furto de veículos;2014;12285;478.175204
PI;Roubo e furto de veículos;2014;4322;456.0972135
PR;Roubo e furto de veículos;2014;24992;372.1210573
RJ;Roubo e furto de veículos;2014;50336;850.9009719
RN;Roubo e furto de veículos;2014;3571;342.2110803
RO;Roubo e furto de veículos;2014;3901;477.511895
RR;Roubo e furto de veículos;2014;827;462.483992
RS;Roubo e furto de veículos;2014;32722;526.2497668
SC;Roubo e furto de veículos;2014;17045;383.3825429
SE;Roubo e furto de veículos;2014;2801;449.8998527
SP;Roubo e furto de veículos;2014;221532;861.3806042
TO;Roubo e furto de veículos;2014;1895;331.2844396
AC;Roubo e furto de veículos;2015;447;186.5165633
AL;Roubo e furto de veículos;2015;3852;536.8199688
AM;Roubo e furto de veículos;2015;4648;584.7107204
AP;Roubo e furto de veículos;2015;1527;875.9249699
BA;Roubo e furto de veículos;2015;19960;548.4408453
Brasil;Roubo e furto de veículos;2015;514535;567.3749965
CE;Roubo e furto de veículos;2015;14250;512.8472741
DF;Roubo e furto de veículos;2015;11298;684.9086698
ES;Roubo e furto de veículos;2015;6031;343.1807409
GO;Roubo e furto de veículos;2015;28241;796.5234
MA;Roubo e furto de veículos;2015;6305;431.8025857
MG;Roubo e furto de veículos;2015;39157;396.4142616
MS;Roubo e furto de veículos;2015;4688;333.4305365
MT;Roubo e furto de veículos;2015;7155;398.3733229
PA;Roubo e furto de veículos;2015;8361;485.2312349
PB;Roubo e furto de veículos;2015;3154;282.9077608
PE;Roubo e furto de veículos;2015;14819;545.6945039
PI;Roubo e furto de veículos;2015;4517;440.9345822
PR;Roubo e furto de veículos;2015;26249;377.1777095
RJ;Roubo e furto de veículos;2015;47979;775.7600804
RN;Roubo e furto de veículos;2015;5198;467.8697346
RO;Roubo e furto de veículos;2015;5099;588.9085615
RR;Roubo e furto de veículos;2015;912;477.3544514
RS;Roubo e furto de veículos;2015;38580;597.4432588
SC;Roubo e furto de veículos;2015;17533;379.2081551
SE;Roubo e furto de veículos;2015;3096;467.7648666
SP;Roubo e furto de veículos;2015;189320;711.5944414
TO;Roubo e furto de veículos;2015;2159;352.7766249
AC;Roubo e furto de veículos;2016;0;0
AL;Roubo e furto de veículos;2016;4710;624.8134514
AM;Roubo e furto de veículos;2016;6285;767.041502
AP;Roubo e furto de veículos;2016;1012;563.2705313
BA;Roubo e furto de veículos;2016;20835;548.1322463
Brasil;Roubo e furto de veículos;2016;557504;593.9296078
CE;Roubo e furto de veículos;2016;15011;515.9887418
DF;Roubo e furto de veículos;2016;12701;747.2574282
ES;Roubo e furto de veículos;2016;6502;358.8314083
GO;Roubo e furto de veículos;2016;29345;802.2691545
MA;Roubo e furto de veículos;2016;8060;522.7503413
MG;Roubo e furto de veículos;2016;42909;417.4844337
MS;Roubo e furto de veículos;2016;4796;328.6137925
MT;Roubo e furto de veículos;2016;6572;349.2412028
PA;Roubo e furto de veículos;2016;10755;588.6264562
PB;Roubo e furto de veículos;2016;4944;417.4762446
PE;Roubo e furto de veículos;2016;22146;786.4025439
PI;Roubo e furto de veículos;2016;5711;526.3550809
PR;Roubo e furto de veículos;2016;32821;459.6496098
RJ;Roubo e furto de veículos;2016;58455;916.5840322
RN;Roubo e furto de veículos;2016;7346;620.7731693
RO;Roubo e furto de veículos;2016;5475;604.6470021
RR;Roubo e furto de veículos;2016;1203;598.2663703
RS;Roubo e furto de veículos;2016;37194;559.2864879
SC;Roubo e furto de veículos;2016;17745;371.8441963
SE;Roubo e furto de veículos;2016;3696;520.7966385
SP;Roubo e furto de veículos;2016;188880;691.0555467
TO;Roubo e furto de veículos;2016;2395;375.8419173
AC;Roubo e furto de veículos;2017;2208;836.8676589
AL;Roubo e furto de veículos;2017;4328;546.6019871
AM;Roubo e furto de veículos;2017;8139;961.0025882
AP;Roubo e furto de veículos;2017;988;530.2562726
BA;Roubo e furto de veículos;2017;19016;479.6182424
Brasil;Roubo e furto de veículos;2017;551163;567.6711261
CE;Roubo e furto de veículos;2017;16130;533.1921184
DF;Roubo e furto de veículos;2017;10577;603.8120596
ES;Roubo e furto de veículos;2017;10788;577.2530822
GO;Roubo e furto de veículos;2017;27917;739.8932234
MA;Roubo e furto de veículos;2017;7607;469.8921849
MG;Roubo e furto de veículos;2017;38486;359.2834719
MS;Roubo e furto de veículos;2017;4547;299.4613384
MT;Roubo e furto de veículos;2017;5402;274.8263257
PA;Roubo e furto de veículos;2017;13672;712.7972443
PB;Roubo e furto de veículos;2017;5267;425.5119757
PE;Roubo e furto de veículos;2017;26561;913.7718746
PI;Roubo e furto de veículos;2017;5677;497.6371658
PR;Roubo e furto de veículos;2017;30722;418.9825469
RJ;Roubo e furto de veículos;2017;70074;1071.604544
RN;Roubo e furto de veículos;2017;8321;672.0852412
RO;Roubo e furto de veículos;2017;4931;523.8956331
RR;Roubo e furto de veículos;2017;1148;545.2775073
RS;Roubo e furto de veículos;2017;34800;507.9472581
SC;Roubo e furto de veículos;2017;15002;303.2509423
SE;Roubo e furto de veículos;2017;3701;499.3543878
SP;Roubo e furto de veículos;2017;172793;614.0760315
TO;Roubo e furto de veículos;2017;2361;356.8195454
AC;Roubo e furto de veículos;2018;1841;662.6330395
AL;Roubo e furto de veículos;2018;4917;588.9843045
AM;Roubo e furto de veículos;2018;5343;605.0393904
AP;Roubo e furto de veículos;2018;989;507.0780716
BA;Roubo e furto de veículos;2018;18675;451.1842772
Brasil;Roubo e furto de veículos;2018;492243;488.5953766
CE;Roubo e furto de veículos;2018;13503;428.8887357
DF;Roubo e furto de veículos;2018;9293;512.7248792
ES;Roubo e furto de veículos;2018;11223;579.4424177
GO;Roubo e furto de veículos;2018;21403;547.4712548
MA;Roubo e furto de veículos;2018;7073;416.8722148
MG;Roubo e furto de veículos;2018;30948;276.5352249
MS;Roubo e furto de veículos;2018;4417;279.0021363
MT;Roubo e furto de veículos;2018;4726;227.1189438
PA;Roubo e furto de veículos;2018;11122;552.2475213
PB;Roubo e furto de veículos;2018;4678;361.6074603
PE;Roubo e furto de veículos;2018;21080;700.1838149
PI;Roubo e furto de veículos;2018;7103;593.8009952
PR;Roubo e furto de veículos;2018;25494;336.7268418
RJ;Roubo e furto de veículos;2018;67891;1009.408218
RN;Roubo e furto de veículos;2018;8025;621.6578628
RO;Roubo e furto de veículos;2018;4919;499.3670353
RR;Roubo e furto de veículos;2018;1165;531.2599754
RS;Roubo e furto de veículos;2018;30533;431.3806271
SC;Roubo e furto de veículos;2018;11389;221.0333976
SE;Roubo e furto de veículos;2018;3415;442.1398793
SP;Roubo e furto de veículos;2018;158316;544.8322924
TO;Roubo e furto de veículos;2018;2762;400.1918371
AC;Roubo e furto de veículos;2019;2446;835.7849921
AL;Roubo e furto de veículos;2019;3846;432.1833914
AM;Roubo e furto de veículos;2019;4550;490.0783371
AP;Roubo e furto de veículos;2019;1469;714.9844981
BA;Roubo e furto de veículos;2019;16736;386.2839649
Brasil;Roubo e furto de veículos;2019;417844;398.7655602
CE;Roubo e furto de veículos;2019;9730;296.3275183
DF;Roubo e furto de veículos;2019;8562;454.2367846
ES;Roubo e furto de veículos;2019;9563;475.491054
GO;Roubo e furto de veículos;2019;12130;299.1525819
MA;Roubo e furto de veículos;2019;6864;386.2513864
MG;Roubo e furto de veículos;2019;26598;226.7921917
MS;Roubo e furto de veículos;2019;4065;246.3951451
MT;Roubo e furto de veículos;2019;4203;190.1897735
PA;Roubo e furto de veículos;2019;7699;363.1569513
PB;Roubo e furto de veículos;2019;4258;314.6864258
PE;Roubo e furto de veículos;2019;19455;621.7253958
PI;Roubo e furto de veículos;2019;7303;584.0096666
PR;Roubo e furto de veículos;2019;21795;277.7998355
RJ;Roubo e furto de veículos;2019;55344;796.2087435
RN;Roubo e furto de veículos;2019;7021;521.35003
RO;Roubo e furto de veículos;2019;5707;553.7475718
RR;Roubo e furto de veículos;2019;1260;550.2591895
RS;Roubo e furto de veículos;2019;24234;331.5578829
SC;Roubo e furto de veículos;2019;10539;195.7329147
SE;Roubo e furto de veículos;2019;2816;349.2210733
SP;Roubo e furto de veículos;2019;137169;456.3329255
TO;Roubo e furto de veículos;2019;2482;343.8611366
AC;Roubo e furto de veículos;2020;959;313.1346773
AL;Roubo e furto de veículos;2020;3126;335.7921569
AM;Roubo e furto de veículos;2020;3906;402.7958528
AP;Roubo e furto de veículos;2020;396;183.9037756
BA;Roubo e furto de veículos;2020;14718;326.5713668
Brasil;Roubo e furto de veículos;2020;323955;300.1017959
CE;Roubo e furto de veículos;2020;12809;377.2476852
DF;Roubo e furto de veículos;2020;6503;336.2096153
ES;Roubo e furto de veículos;2020;9109;438.257382
GO;Roubo e furto de veículos;2020;7959;189.3480707
MA;Roubo e furto de veículos;2020;4104;221.171931
MG;Roubo e furto de veículos;2020;27744;230.1791936
MS;Roubo e furto de veículos;2020;3354;196.4078561
MT;Roubo e furto de veículos;2020;3182;137.027831
PA;Roubo e furto de veículos;2020;5554;249.1438763
PB;Roubo e furto de veículos;2020;4584;325.2004835
PE;Roubo e furto de veículos;2020;14351;445.2125765
PI;Roubo e furto de veículos;2020;6256;484.4298696
PR;Roubo e furto de veículos;2020;16450;203.6543136
RJ;Roubo e furto de veículos;2020;38320;540.6475383
RN;Roubo e furto de veículos;2020;6166;443.1705308
RO;Roubo e furto de veículos;2020;3914;365.4692274
RR;Roubo e furto de veículos;2020;1288;538.0274277
RS;Roubo e furto de veículos;2020;17299;230.7882675
SC;Roubo e furto de veículos;2020;8968;160.6268603
SE;Roubo e furto de veículos;2020;3312;395.7830937
SP;Roubo e furto de veículos;2020;97615;317.1484677
TO;Roubo e furto de veículos;2020;2009;266.3728477
AC;Roubo e furto de veículos;2021;1341;418.8360668
AL;Roubo e furto de veículos;2021;3132;318.9984345
AM;Roubo e furto de veículos;2021;4072;401.5676127
AP;Roubo e furto de veículos;2021;481;214.5329337
BA;Roubo e furto de veículos;2021;17985;382.9878032
Brasil;Roubo e furto de veículos;2021;334643;300.2713311
CE;Roubo e furto de veículos;2021;11857;337.4986729
DF;Roubo e furto de veículos;2021;5763;291.1050069
ES;Roubo e furto de veículos;2021;8481;392.5603768
GO;Roubo e furto de veículos;2021;6812;155.904232
MA;Roubo e furto de veículos;2021;6854;353.2124866
MG;Roubo e furto de veículos;2021;24105;192.7901984
MS;Roubo e furto de veículos;2021;3387;191.9318361
MT;Roubo e furto de veículos;2021;3936;161.0616319
PA;Roubo e furto de veículos;2021;5546;235.726457
PB;Roubo e furto de veículos;2021;5027;341.7633138
PE;Roubo e furto de veículos;2021;14534;435.8701914
PI;Roubo e furto de veículos;2021;6639;495.8481401
PR;Roubo e furto de veículos;2021;15604;187.0987252
RJ;Roubo e furto de veículos;2021;38747;531.0459812
RN;Roubo e furto de veículos;2021;5009;346.8099234
RO;Roubo e furto de veículos;2021;3972;356.783879
RR;Roubo e furto de veículos;2021;1226;489.0794854
RS;Roubo e furto de veículos;2021;13850;180.1209424
SC;Roubo e furto de veículos;2021;8919;154.1426418
SE;Roubo e furto de veículos;2021;3018;346.1898469
SP;Roubo e furto de veículos;2021;112711;358.3192025
TO;Roubo e furto de veículos;2021;1635;206.5794611
